Date,Forecast,Lower,Upper,Dia_horizonte,Ancho_IC,Ancho_IC_%
2023-09-01,941.4035801023547,898.0239980266352,984.7831621780741,1,86.75916415143888,9.215937349845849
2023-09-02,941.3170576252031,893.0438900843099,989.5902251660964,2,96.54633508178654,10.256516048413907
2023-09-03,941.316520846653,888.6572931990323,993.9757484942737,3,105.31845529524139,11.188421000038785
2023-09-04,941.3165175165217,884.6097820169654,998.023253016078,4,113.41347099911263,12.048388495118703
2023-09-05,941.3165174958618,880.8325260393052,1001.8005089524185,5,120.96798291311325,12.850935967310809
2023-09-06,941.3165174957337,877.2776808992351,1005.3553540922323,6,128.07767319299728,13.606228172191589
2023-09-07,941.3165174957329,873.9100492397805,1008.7229857516853,7,134.8129365119048,14.321743431270018
2023-09-08,941.3165174957329,870.7028408257823,1011.9301941656835,8,141.22735333990113,15.003173822511972
2023-09-09,941.3165174957329,867.6351039441735,1014.9979310472924,9,147.3628271031189,15.65497092255017
2023-09-10,941.3165174957329,864.69008554785,1017.9429494436158,10,153.2528638957658,16.28069422424222
2023-09-11,941.3165174957329,861.8541399628957,1020.7788950285701,11,158.9247550656744,16.883243001883773
2023-09-12,941.3165174957329,859.1159772707517,1023.5170577207141,12,164.40108044996236,17.465016006234865
2023-09-13,941.3165174957329,856.466130440715,1026.1669045507508,13,169.7007741100358,18.028024682017236
2023-09-14,941.3165174957329,853.8965680934714,1028.7364668979944,14,174.83989880452305,18.573975443420988
2023-09-15,941.3165174957329,851.400407017123,1031.2326279743427,15,179.83222095721965,19.104330755359854
2023-09-16,941.3165174957329,848.9716947187674,1033.6613402726985,16,184.6896455539311,19.620355334386055
2023-09-17,941.3165174957329,846.6052422228448,1036.027792768621,17,189.4225505457763,20.123151673755153
2023-09-18,941.3165174957329,844.2964936144516,1038.336541377014,18,194.0400477625625,20.613687761347723
2023-09-19,941.3165174957329,842.0414229149067,1040.5916120765592,19,198.5501891616525,21.092818990351198
2023-09-20,941.3165174957329,839.8364516003089,1042.796583391157,20,202.96013179084798,21.561305683958533
2023-09-21,941.3165174957329,837.678381926594,1044.9546530648718,21,207.2762711382777,22.019827261685897
2023-09-22,941.3165174957329,835.5643425093298,1047.068692482136,22,211.50434997280615,22.468993801945576
2023-09-23,941.3165174957329,833.4917435128377,1049.141291478628,23,215.64954796579036,22.909355562940913
2023-09-24,941.3165174957329,831.4582394527469,1051.174795538719,24,219.71655608597223,23.341410885947642
2023-09-25,941.3165174957329,829.4616980882633,1053.1713369032025,25,223.70963881493913,23.765612804723066
2023-09-26,941.3165174957329,827.5001742282336,1055.1328607632322,26,227.63268653499858,24.18237461088963
2023-09-27,941.3165174957329,825.5718875343699,1057.061147457096,27,231.4892599227261,24.592074570047632
2023-09-28,941.3165174957329,823.6752036004841,1058.9578313909817,28,235.2826277904976,24.995059941839827
2023-09-29,941.3165174957329,821.8086177354742,1060.8244172559916,29,239.01579952051748,25.391650425554225
2023-09-30,941.3165174957329,819.9707409923224,1062.6622939991435,30,242.6915530068211,25.78214112852017
2023-10-01,941.3165174957329,818.1602880742242,1064.4727469172417,31,246.31245884301745,26.166805135673616
2023-10-02,941.3165174957329,816.3760668184967,1066.2569681729692,32,249.88090135447248,26.54589574389416
2023-10-03,941.3165174957329,814.6169690137494,1068.0160659777164,33,253.39909696396694,26.919648413065865
2023-10-04,941.3165174957329,812.8819623493623,1069.7510726421035,34,256.8691102927412,27.288282476558756
2023-10-05,941.3165174957329,811.1700833311593,1071.4629516603065,35,260.29286832914727,27.6520026464241
2023-10-06,941.3165174957329,809.4804310252172,1073.1526039662488,36,263.6721729410316,28.011000342637338
2023-10-07,941.3165174957329,807.8121615144806,1074.820873476985,37,267.00871196250444,28.365454870892016
2023-10-08,941.3165174957329,806.1644829713628,1076.468552020103,38,270.3040690487403,28.715534469516584
2023-10-09,941.3165174957329,804.5366512646822,1078.0963837267836,39,273.55973246210146,29.06139724286114
2023-10-10,941.3165174957329,802.9279660317777,1079.705068959688,40,276.7771029279104,29.403191995849053
2023-10-11,941.3165174957329,801.3377671569784,1081.2952678344875,41,279.9575006775091,29.741058982190673
2023-10-12,941.3165174957329,799.7654316061962,1082.8676033852696,42,283.1021717790734,30.075130576932292
2023-10-13,941.3165174957329,798.210370574594,1084.4226644168718,43,286.21229384227786,30.405531882486624
2023-10-14,941.3165174957329,796.6720269102902,1085.9610080811756,44,289.28898117088534,30.732381276013964
2023-10-15,941.3165174957329,795.1498727821396,1087.483162209326,45,292.3332894271865,31.05579090494518
2023-10-16,941.3165174957329,793.6434075639061,1088.9896274275598,46,295.3462198636537,31.37586713652802
2023-10-17,941.3165174957329,792.1521559107853,1090.4808790806806,47,298.3287231698953,31.69271096650523
2023-10-18,941.3165174957329,790.6756660073247,1091.957368984141,48,301.2817029768164,32.006418391376215
