Date,Forecast,Lower,Upper,Dia_horizonte,Ancho_IC,Ancho_IC_%
2023-09-01,457.2023081837833,435.15179660381557,479.25281976375106,1,44.101023159935494,9.64584438235339
2023-09-02,457.00280257345685,432.3027645514232,481.7028405954905,2,49.400076044067305,10.809578358357426
2023-09-03,457.01007601040794,429.75242290335376,484.2677291174621,3,54.515306214108364,11.928688025877756
2023-09-04,457.0098108404962,427.42040430508746,486.5992173759049,4,59.178813070817455,12.949134059503114
2023-09-05,457.0098205078766,425.25925372526734,488.7603872904859,5,63.50113356521854,13.894916633224536
2023-09-06,457.00982015542996,423.23610909713705,490.7835312137229,6,67.54742211658584,14.780299927387297
2023-09-07,457.0098201682792,421.3274906131905,492.6921497233679,7,71.3646591101774,15.615563596401419
2023-09-08,457.00982016781074,419.51590431848444,494.50373601713704,8,74.9878316986526,16.408363319439744
2023-09-09,457.0098201678278,417.78790271117737,496.2317376244782,9,78.44383491330086,17.164584096791163
2023-09-10,457.0098201678272,416.13288422302514,497.8867561126292,10,81.75387188960406,17.888865464549905
2023-09-11,457.0098201678272,414.5423152317631,499.47732510389125,11,84.93500987212815,18.58494196928582
2023-09-12,457.0098201678272,413.0092058680949,501.01043446755943,12,88.00122859946453,19.25587256902881
2023-09-13,457.0098201678272,411.5277452150177,502.4918951206366,13,90.96414990561891,19.904200280032114
2023-09-14,457.0098201678272,410.0930403841277,503.92659995152667,14,93.83355956739899,20.53206636411896
2023-09-15,457.0098201678272,408.7009254533822,505.31871488227216,15,96.61778942888998,21.14129394274485
2023-09-16,457.0098201678272,407.34781867986345,506.6718216557909,16,99.32400297592744,21.733450484598514
2023-09-17,457.0098201678272,406.0306138671237,507.98902646853065,17,101.95841260140696,22.30989534622361
2023-09-18,457.0098201678272,404.74659640284244,509.2730439328119,18,104.52644752996946,22.87181651623686
2023-09-19,457.0098201678272,403.4933774462856,510.52626288936875,19,107.03288544308316,23.420259416696474
2023-09-20,457.0098201678272,402.2688416889288,511.75079864672557,20,109.4819569577968,23.956149764482493
2023-09-21,457.0098201678272,401.07110541599906,512.9485349196553,21,111.87742950365629,24.480311924713494
2023-09-22,457.0098201678272,399.8984824900458,514.1211578456085,22,114.22267535556273,24.993483797266517
